,MonitoringDate,MonitoringLocationIdentifier,COD,DIN,DIP,DO,TPH,pH,month,cluster_kmeans_2,cluster_agglomerative_2,cluster_spectral_2,cluster_kmeans_3,cluster_agglomerative_3,cluster_spectral_3,cluster_kmeans_4,cluster_agglomerative_4,cluster_spectral_4
71,2020-10-01,400,1.02,0.079,0.007,6.944800000000002,0.021,7.92,10,0,0,0,2,0,2,2,0,3
72,2021-04-01,400,0.89,0.062,0.007,10.346400000000006,0.002,8.01,4,0,0,0,0,2,0,3,2,3
73,2021-07-01,400,1.02,0.026,0.002,9.18045,0.004,8.08,7,0,0,0,0,2,0,3,2,3
74,2021-10-01,400,1.065,0.08,0.0075,7.765450000000003,0.0115,8.015,10,0,0,0,0,0,2,3,0,3
75,2022-07-01,400,1.02,0.026,0.002,8.761000000000003,0.004,7.99,7,0,0,0,0,2,0,3,2,3
76,2017-05-01,401,1.29,0.16,0.011,9.17,0.011,8.14,5,0,0,0,0,2,0,3,2,3
77,2017-08-01,401,0.97,0.056,0.011,6.54,0.02,8.09,8,0,0,0,2,0,2,0,0,3
78,2017-10-01,401,1.07,0.19,0.012,7.18,0.035,8.29,10,0,0,0,2,0,2,2,3,3
79,2018-05-01,401,1.26,0.083,0.005,9.2,0.011,8.14,5,0,0,0,0,2,0,3,2,3
80,2018-08-01,401,0.89,0.13,0.01,6.29,0.015,8.18,8,0,0,0,2,0,2,0,3,2
81,2018-10-01,401,0.75,0.12,0.01,8.12,0.004,8.13,10,0,0,0,0,2,2,3,2,3
82,2019-05-01,401,1.26,0.083,0.005,9.2,0.011,8.14,5,0,0,0,0,2,0,3,2,3
83,2019-08-01,401,0.933,0.047,0.005,8.61,0.0,8.11,8,0,0,0,0,2,0,3,2,3
84,2019-10-01,401,0.467,0.152,0.02,9.27,0.0,8.23,10,0,0,0,0,2,0,3,2,3
85,2017-08-01,402,0.99,0.054,0.007,8.173699999999998,0.016,8.16,8,0,0,0,0,0,2,3,0,3
86,2018-08-01,402,1.04,0.132,0.007,8.091500000000003,0.016,8.16,8,0,0,0,0,0,2,3,0,3
87,2019-07-01,402,1.32,0.029,0.005,8.10005,0.022,8.14,7,0,0,0,0,0,2,3,0,3
88,2020-05-01,402,0.9750000000000001,0.1345,0.005,9.448049999999997,0.0155,7.965,5,0,0,0,0,2,0,3,2,3
89,2020-08-01,402,1.04,0.132,0.002,8.86825,0.011,8.37,8,0,0,0,0,2,0,3,2,3
90,2020-10-01,402,0.89,0.141,0.012,7.747000000000002,0.013,8.08,10,0,0,0,2,0,2,0,0,3
91,2021-05-01,402,1.1,0.113,0.004,9.479149999999999,0.005,7.96,5,0,0,0,0,2,0,3,2,3
92,2021-07-01,402,1.96,0.02,0.001,8.411099999999998,0.03,8.14,7,0,0,0,0,2,0,2,2,3
93,2021-11-01,402,0.97,0.119,0.014,8.653400000000003,0.01,8.06,11,0,0,0,0,0,0,3,0,3
94,2022-07-01,402,1.32,0.029,0.005,9.19895,0.004,8.28,7,0,0,0,0,2,0,3,2,3
95,2017-08-01,403,1.21,0.154,0.005,7.658199999999999,0.031,8.18,8,0,0,0,0,0,2,2,0,3
96,2018-08-01,403,1.02,0.16599999999999998,0.006,8.712599999999997,0.01,8.195,8,0,0,0,0,0,0,3,0,3
97,2019-07-01,403,1.1724999999999999,0.0465,0.002,8.26465,0.015,8.07,7,0,0,0,0,0,0,3,0,3
98,2020-05-01,403,1.1949999999999998,0.203,0.0055,9.41685,0.017499999999999998,8.055,5,0,0,0,0,2,0,3,2,3
99,2020-08-01,403,1.01,0.178,0.007,8.578749999999996,0.006,8.37,8,0,0,0,0,2,0,3,2,3
100,2020-10-01,403,1.15,0.14,0.003,8.36745,0.014,8.2,10,0,0,0,0,0,2,3,0,3
101,2021-05-01,403,1.17,0.167,0.003,9.837150000000007,0.005,8.21,5,0,0,0,0,2,0,3,2,3
102,2021-07-01,403,1.53,0.06,0.001,8.325999999999999,0.008,8.04,7,0,0,0,0,2,0,3,2,3
103,2021-11-01,403,1.42,0.191,0.006,9.10815,0.007,8.26,11,0,0,0,0,2,0,3,2,3
104,2022-08-01,403,1.03,0.224,0.002,8.639500000000002,0.0,8.21,8,0,0,0,0,2,0,3,2,3
105,2017-08-01,404,1.2,0.044,0.009,7.59115,0.017,8.15,8,0,0,0,0,0,2,3,0,3
106,2018-08-01,404,1.12,0.103,0.0055,8.343749999999995,0.0085,8.23,8,0,0,0,0,0,0,3,0,3
107,2019-07-01,404,1.1400000000000001,0.024499999999999997,0.004,8.299,0.0205,8.055,7,0,0,0,0,0,2,3,0,3
108,2020-05-01,404,0.9,0.16499999999999998,0.0055,9.399199999999997,0.015000000000000001,8.105,5,0,0,0,0,2,0,3,2,3
109,2020-08-01,404,1.64,0.056,0.001,9.120650000000005,0.0,8.4,8,0,0,0,0,2,0,3,2,3
110,2020-10-01,404,1.11,0.097,0.004,9.179800000000002,0.005,8.18,10,0,0,0,0,2,0,3,2,3
111,2021-05-01,404,1.09,0.145,0.003,9.849950000000005,0.005,8.31,5,0,0,0,0,2,0,3,2,3
112,2021-07-01,404,1.08,0.005,0.002,8.281599999999996,0.008,8.0,7,0,0,0,0,2,0,3,2,3
113,2021-11-01,404,1.19,0.228,0.006,8.9017,0.008,8.24,11,0,0,0,0,2,0,3,2,3
114,2022-08-01,404,1.04,0.15,0.002,8.846749999999997,0.0,8.31,8,0,0,0,0,2,0,3,2,3
115,2017-08-01,405,1.09,0.073,0.005,7.617100000000002,0.04,8.08,8,0,0,0,2,0,2,2,0,3
116,2018-08-01,405,1.09,0.142,0.005,7.97495,0.018,8.24,8,0,0,0,0,0,2,3,0,3
117,2019-07-01,405,1.2,0.083,0.0,8.017699999999998,0.003,7.95,7,0,0,0,0,2,2,3,2,3
118,2020-05-01,405,1.05,0.058,0.005,9.218349999999997,0.017,7.96,5,0,0,0,0,2,0,3,2,3
119,2020-08-01,405,1.27,0.192,0.001,7.806950000000003,0.013,8.34,8,0,0,0,0,0,2,3,3,3
120,2020-10-01,405,1.06,0.058,0.003,9.44675,0.006,8.15,10,0,0,0,0,2,0,3,2,3
121,2021-04-01,405,1.26,0.065,0.0,10.25885,0.002,8.12,4,0,0,0,0,2,0,3,2,3
122,2021-07-01,405,1.2,0.083,0.0,8.017699999999998,0.003,7.95,7,0,0,0,0,2,2,3,2,3
123,2021-10-01,405,0.99,0.107,0.0055,9.39375,0.005,8.11,10,0,0,0,0,2,0,3,2,3
124,2022-07-01,405,1.14,0.083,0.0,7.988749999999998,0.003,7.91,7,0,0,0,0,2,2,3,2,3
125,2017-08-01,406,1.07,0.096,0.015,6.772450000000003,0.016,8.02,8,0,0,0,2,0,2,0,0,3
126,2018-08-01,406,1.07,0.121,0.013,6.97035,0.016,8.18,8,0,0,0,2,0,2,0,3,3
127,2019-07-01,406,1.1,0.047,0.001,8.531449999999996,0.004,8.06,7,0,0,0,0,2,0,3,2,3
128,2020-05-01,406,1.16,0.028,0.003,8.825450000000004,0.035,7.86,5,0,0,0,0,2,2,2,2,3
129,2020-08-01,406,1.61,0.13,0.0,9.367650000000001,0.013,8.44,8,0,0,0,0,2,0,3,2,3
130,2020-10-01,406,0.73,0.046,0.006,9.557899999999998,0.005,8.09,10,0,0,0,0,2,0,3,2,3
131,2021-04-01,406,0.84,0.018,0.003,10.324699999999998,0.012,8.13,4,0,0,0,0,2,0,3,2,3
132,2021-07-01,406,1.1,0.047,0.001,8.531449999999996,0.004,8.06,7,0,0,0,0,2,0,3,2,3
133,2021-10-01,406,0.875,0.058,0.008,9.514149999999994,0.0035,8.14,10,0,0,0,0,2,0,3,2,3
134,2022-07-01,406,1.1,0.089,0.0,7.8449,0.004,8.06,7,0,0,0,0,0,2,3,0,3
135,2017-08-01,407,1.19,0.127,0.006,7.019599999999998,0.03,8.13,8,0,0,0,2,0,2,2,0,3
136,2018-08-01,407,1.115,0.1345,0.007,7.323000000000003,0.031,8.190000000000001,8,0,0,0,2,0,2,2,0,3
137,2019-07-01,407,1.385,0.079,0.004,7.323449999999998,0.016,7.99,7,0,0,0,0,0,2,2,0,3
138,2017-05-01,408,1.23,0.257,0.002,9.13,0.02,8.09,5,0,0,0,0,2,0,3,2,3
139,2017-08-01,408,0.69,0.21,0.002,8.34,0.013,8.17,8,0,0,0,0,2,2,3,2,3
140,2017-10-01,408,0.59,0.214,0.002,7.52,0.011,8.13,10,0,0,0,2,0,2,0,3,2
141,2018-05-01,408,0.965,0.308,0.002,9.75,0.018,8.09,5,0,0,0,0,2,0,3,2,3
142,2018-08-01,408,0.7,0.296,0.002,6.57,0.014,8.01,8,0,0,0,2,0,2,0,0,3
143,2018-10-01,408,0.67,0.195,0.002,8.34,0.015,8.02,10,0,0,0,0,2,2,3,2,3
144,2019-05-01,408,0.965,0.308,0.002,9.75,0.018,8.09,5,0,0,0,0,2,0,3,2,3
145,2019-08-01,408,1.41,0.448,0.002,5.74,0.031,8.33,8,0,0,0,2,0,2,2,3,3
146,2019-10-01,408,0.996,0.436,0.004,7.96,0.014,8.02,10,0,0,0,0,0,2,3,0,3
147,2017-08-01,409,1.06,0.038,0.005,7.400199999999997,0.014,8.08,8,0,0,0,2,0,2,0,0,3
148,2018-08-01,409,1.1,0.122,0.005,7.381549999999999,0.014,8.16,8,0,0,0,2,0,2,0,0,3
149,2019-07-01,409,1.16,0.035,0.0,8.673849999999996,0.002,8.15,7,0,0,0,0,2,0,3,2,3
150,2020-05-01,409,1.04,0.026,0.003,8.985650000000001,0.034,7.94,5,0,0,0,0,2,2,2,2,3
151,2020-08-01,409,1.47,0.122,0.0,9.3915,0.0,8.45,8,0,0,0,0,2,0,3,2,3
152,2020-10-01,409,1.6,0.059,0.003,9.013399999999999,0.01,8.17,10,0,0,0,0,2,0,3,2,3
